Date,volume,pct_change_1d,rsi,adx,corr,volatility,volume^2,pct_change_1d^2,rsi^2,adx^2,corr^2,volatility^2,volume*pct_change_1d,volume*rsi,volume*adx,volume*corr,volume*volatility,pct_change_1d*rsi,pct_change_1d*adx,pct_change_1d*corr,pct_change_1d*volatility,rsi*adx,rsi*corr,rsi*volatility,adx*corr,adx*volatility,corr*volatility
2023-02-02,8523200,-0.0263158844247998,25.717478429181025,20.038181184617585,0.662245671719542,1.5032859258647568,72644938240000,0.0006925257730594,661.3886967553913,401.5287051875622,0.4385693297112673,2.25986857490306,-224295.5461294538,219195212.1475957,170789425.8727326,5644452.3092,12812806.603330497,-0.6767781900396103,-0.5273224601375947,-0.0174275805577953,-0.0395602986824851,515.3314923754239,17.031288777265818,38.66072337131831,13.27019875864496,30.1231157547636,0.9955445977608396
2023-02-03,9219400,0.0270271271800031,39.15840615290747,23.30340055095072,0.7017718093307301,1.8068650729010136,84997336360000,0.000730465603604,1533.3807724360613,543.0484772380503,0.4924836723713267,3.264761391669585,249173.89632332063,361017009.6861151,214843371.03943503,6469915.018943734,16658211.853103604,1.0583392232608464,0.6298239704170996,0.0189668759421225,0.0488343721224012,912.524023518016,27.480265536433468,70.75395638816065,16.353669568199418,42.106100535335095,1.268006971426246
2023-02-07,11662300,-0.0368421292696664,30.55749286454767,27.48422482861854,0.837255890039203,2.094668411635261,136009241290000,0.0013573424891228,933.7603701668816,755.3826144300518,0.7009974254053379,4.387635754702587,-429663.9641816311,356370649.03421426,320529275.218798,9764329.366404196,24428651.417013902,-1.1258031022725756,-1.0125773640125406,-0.0308462897326139,-0.0771720443985532,839.849004088135,25.58444088567345,64.00781504213789,23.01132912092258,57.5703375667888,1.753773465320684
2023-02-08,5665300,0.010928888362699,35.08394486426075,31.246966678519573,0.8722488902300498,2.1606375745812105,32095624090000,0.0001194406008443,1230.8831872384883,976.3729266085126,0.7608181265075535,4.668354728692176,61915.43124119869,198761072.83949643,177023440.32381693,4941551.637820302,12240660.051274933,0.3834285167445929,0.3414946105025162,0.0095327107458123,0.0236133668448508,1096.2668561245737,30.601931972743696,75.80368953825726,27.25513200839404,67.51337029729643,1.8846137266178076
2023-02-09,6074700,0.0054054394196236,37.35260105124302,33.78716402303486,0.8378568765590456,2.182707968724558,36901980090000,2.92187753192216e-05,1395.2168052933212,1141.5724527194614,0.7020041455972797,4.764214076733686,32836.422842387976,226905845.605986,205246885.29072988,5089729.168033235,13259296.097611072,0.2019072221478659,0.1826344682874036,0.004528984588555,0.0117984956956704,1262.0384584053324,31.2961336481506,81.52981996713744,28.308807716128147,73.7475121536819,1.8287968811160973
2023-02-10,4602400,-0.0215054413997012,32.33090420092877,36.5166188992004,0.8341853203324644,2.1674471068226926,21182085760000,0.0004624840097959,1045.2873664496335,1333.46345582944,0.6958651486581763,4.69782696087406,-98976.64349798494,148799753.49435458,168064086.82167992,3839254.518298134,9975458.56444076,-0.695290365692428,-0.7853060078519767,-0.0179395235229008,-0.0466119067427273,1180.615307371873,26.969965677489984,70.0755247712647,30.46162743388801,79.14783998401877,1.808052559108561
2023-02-13,4697600,-0.0274724169616273,27.243887785383404,39.83400956641129,0.8738170228152463,2.245118484121429,22067445760000,0.0007547336937135,742.229421662563,1586.7483181369462,0.7635561893617007,5.040557007743703,-129054.42591894082,127980887.26061708,187124243.33917367,4104842.846376901,10546668.591008823,-0.7484554448958403,-1.094336520061905,-0.0240058655989483,-0.0616788311240407,1085.2332866691982,23.80617291453638,61.1657560462943,34.80763564611556,89.43207117421981,1.9618227496624656
2023-02-14,8820100,-0.0112995052163985,25.46322887227795,43.317697363860646,0.9076031618127216,2.069371868632787,77794164010000,0.0001276788181354,648.3760246020094,1876.4229049070195,0.8237434993324491,4.282299930688752,-99662.76595915688,224588224.97637877,382066422.5189873,8005150.647504385,18252066.818528045,-0.2877218874686549,-0.4894685473253172,-0.0102554666613226,-0.0233828782242845,1103.0084421960548,23.110507034440445,52.69288951285015,39.31527908988651,89.64042433872186,1.878168450937417
2023-02-15,12518500,0.062857168198892,46.73736485552261,43.7563265863785,0.6571176950730626,3.1505298590698394,156712842250000,0.0039510235939838,2184.3812736382406,1914.6161163338136,0.4318036651781345,9.925838392890622,786877.4600978306,585081701.9438598,547763574.3715793,8226127.865772135,39439908.040765785,2.937778403896573,2.750398780005647,0.0413045574856757,0.1980333852671846,2045.0554004049764,30.71194946764978,147.24746351156531,28.75305647130521,137.85561343359691,2.0702689192508337
2023-02-16,10039000,-0.026881958219597,40.84892226969348,42.98432587260189,0.5657526643866386,3.118597154772084,100781521000000,0.0007226396777201,1668.63445059546,1847.6522707220324,0.3200760772605805,9.725648213752535,-269867.9785665348,410082330.6654528,431519647.4350504,5679590.997777465,31307596.83675695,-1.0980990217694675,-1.1555028522048283,-0.0152085394866673,-0.0838339984183373,1755.8633863850891,23.110386611401783,127.3913327657721,24.31849688928805,134.05079636609233,1.7643546494608968
2023-02-17,5678900,0.0,40.84892226969348,42.28952523020295,0.5557804045686064,3.0227662763705343,32249905210000,0.0,1668.63445059546,1788.4039441959717,0.3088918581024438,9.137115961562984,0.0,231976944.67736232,240157984.82979956,3156221.339504659,17165987.40688063,0.0,0.0,0.0,0.0,1727.4815289508017,22.7030305452418,123.47674466291076,23.503689441456483,127.83135070957832,1.6799942639975556
