Date,close,volume,pct_change_1d,rsi,adx,corr,volatility,signal
2023-02-02,1.704984426498413,8523200,-0.02631561748672273,25.717408586534553,20.038162881940952,0.6622469463020726,1.5032807142903801,1
2023-02-03,1.7510647773742676,9219400,0.027026845617875495,39.158280296959916,23.303451727147117,0.7017741550788285,1.8068561587548544,0
2023-02-07,1.6865520477294922,11662300,-0.036842000637756334,30.557384285050208,27.484319850914705,0.8372571619256993,2.0946582962600635,1
2023-02-08,1.704984426498413,5665300,0.010929030499672532,35.08391883380516,31.247101162305533,0.8722491739345591,2.160629059321228,1
2023-02-09,1.714200496673584,6074700,0.005405369123575143,37.35255579615618,33.78733922630839,0.8378567470883173,2.1826991703945264,0
2023-02-10,1.6773360967636108,4602400,-0.021505302315282693,32.330875494805724,36.51682169616565,0.8341848624682064,2.1674384118671814,0
2023-02-13,1.631255269050598,4697600,-0.02747262626847713,27.243811537393427,39.83423562424518,0.8738167805876392,2.2451124446228423,0
2023-02-14,1.6128228902816772,8820100,-0.011299506042146579,25.46315349267842,43.31793805609813,0.9076030165102053,2.0693670722554884,1
2023-02-15,1.714200496673584,12518500,0.06285724675832283,46.73736399954317,43.75656303533216,0.6571172375430658,3.1505288706564256,0
2023-02-16,1.6681197881698608,10039000,-0.026881749592969406,40.848954691372924,42.98453424565103,0.5657514065677537,3.118592049490344,0
2023-02-17,1.6681197881698608,5678900,0.0,40.84895469137293,42.28970833493801,0.5557778485457276,3.0227630280398,0
2023-02-20,1.6589035987854004,7214500,-0.0055248966230248,39.61653813990831,41.96176749323377,0.39836677766068235,2.8483382427926283,0
2023-02-21,1.6128228902816772,8405400,-0.027777809715683333,33.92957691826929,43.10977554848022,0.516306562214262,2.748541755318696,0
2023-02-22,1.5575262308120728,22135300,-0.03428563657101058,28.478755116592048,44.979722693767435,0.5938203086700007,2.8435998484264555,0
2023-02-23,1.5483099222183228,11225200,-0.005917273437471948,27.65596703610519,47.07129266122914,0.626173248257368,2.803684565173916,0
2023-02-24,1.5298776626586914,12859600,-0.0119047609881765,25.987525551549428,49.316068579341184,0.7214883462778657,2.7753702028375016,0
2023-02-27,1.5206615924835205,20182200,-0.006024056955740376,25.14478340144563,51.33636690564204,0.868094605363945,2.6969807370244356,1
2023-02-28,1.5667425394058228,11562900,0.03030322272231767,36.57207707859088,51.188833068784,0.914110416109494,2.92865707441333,0
2023-03-01,1.5206615924835205,13272100,-0.02941194597280683,31.268322804455885,51.62834375652096,0.8983660721024765,1.9200052790984494,1
2023-03-02,1.5262113809585571,6545200,0.003649588115113067,32.57676896029316,52.023903375484224,0.8556043933137023,1.8951050740757303,1
2023-03-03,1.5354613065719604,7129900,0.006060710677962433,34.872814636301875,51.67945153267965,0.7652731136968681,1.9352482662876629,1
2023-03-06,1.544710993766785,4265300,0.006024044471348633,37.24719558035976,49.430692591046366,0.6053948573802832,1.9860068470412642,1
2023-03-07,1.5724605321884155,5345300,0.017964226663502503,44.04701748064738,47.406799045515385,-0.021944928439442665,1.9792006554320865,0
2023-03-08,1.5632107257843018,6899600,-0.005882377468158562,42.34749657779737,46.271997267023266,-0.3370940311810131,1.6457581564511339,0
2023-03-09,1.5354613065719604,3162200,-0.01775155374424564,37.52167789978258,45.25067690748946,-0.3993840367269554,1.7369425937275438,1
2023-03-10,1.5724605321884155,4630600,0.02409648843516532,46.54609079115454,43.56298035113362,-0.41199325672054754,1.848358936251932,0
2023-03-13,1.5354613065719604,5665100,-0.023529509872634247,40.10900907202713,42.04405345041336,-0.17798580482977774,2.0174579819653853,0
2023-03-14,1.5354613065719604,6281300,0.0,40.109009072027135,42.239156372850225,-0.6483357475850117,1.7393630267130107,1
2023-03-15,1.5632107257843018,3429600,0.01807236632637399,46.9075375813158,40.85858386304108,-0.521861899797347,1.5410211011122688,0
2023-03-16,1.5262113809585571,2888000,-0.02366881458491854,40.1546849310187,40.38330355095644,-0.3356749331688246,1.7532080453155587,0
2023-03-17,1.5262113809585571,7030300,0.0,40.15468493101871,39.955551270080264,-0.3108015353817264,1.740893350114503,0
2023-03-20,1.4799628257751465,4971600,-0.030302850417983196,32.8555348049336,40.90787588296773,0.1811136829844067,1.956096283611191,1
2023-03-21,1.4892125129699707,6617500,0.006249945629532627,35.462496222733414,42.51527944676848,0.5881043256413054,1.8409675893246127,1
2023-03-22,1.5169618129730225,2926800,0.01863353937827905,42.85791760386136,42.406134052985976,0.5509031693258979,1.9892004588762964,1
2023-03-23,1.5262113809585571,3470300,0.0060974296824301,45.184307861536524,41.5698791706626,0.46371907492785125,1.932448167379342,1
2023-03-24,1.5354613065719604,4797400,0.006060710677962433,47.55672260345139,40.81723562978833,0.26403197192721645,1.7539753775356919,0
2023-03-27,1.5262113809585571,4527200,-0.006024199746234249,45.37471091067059,39.32853408809127,0.17469493301642522,1.5983238230037378,0
2023-03-28,1.5262113809585571,5341600,0.0,45.37471091067059,38.455455390332865,0.09342824278697792,1.5983238230037378,0
2023-03-29,1.5262113809585571,4462000,0.0,45.374710910670586,38.12382081546703,-0.31375472648802444,1.4614521971597934,0
2023-03-30,1.4152143001556396,20950500,-0.07272720029987212,25.850848274989126,40.55587135955203,0.3428863828459199,2.6215769310692445,1
2023-03-31,1.4337137937545776,16846500,0.013071867346806432,31.323126405555918,42.74471726715215,0.5450435709167921,2.693088537928977,1
2023-04-03,1.5262113809585571,15483000,0.06451607538890225,51.29319877328435,40.853208153078604,0.5565361113843469,3.3316981862822828,0
2023-04-04,1.5169618129730225,16281900,-0.006060476354019406,49.68785550703855,39.150849950412415,0.6035519915919585,3.3434911072960296,0
2023-04-05,1.5077120065689087,3933200,-0.006097586850907888,48.01799262025922,37.97391860557997,0.583854745293809,3.300912298460823,0
2023-04-06,1.4984623193740845,5444800,-0.00613491645256159,46.28950992680234,37.27239521289922,0.5517244970775301,3.297990827781816,0
2023-04-07,1.4707130193710327,5459100,-0.01851851704528862,41.33030431619184,37.61478854523044,0.5238932533729505,3.3281638656251324,1
2023-04-10,1.5077120065689087,4638200,0.025157176628312516,49.36669596969022,37.92294254432854,0.3605589538450473,3.4488636198754246,1
2023-04-11,1.5262113809585571,11399900,0.01226983290512318,52.94730159279998,36.11374363592984,0.0897027659341556,3.473288447200157,0
2023-04-12,1.5262113809585571,4927300,0.0,52.94730159279998,34.48546461837101,-0.29821551569987487,3.473288447200157,0
2023-04-13,1.5077120065689087,2997700,-0.012121108924000867,48.69594079632342,33.4811319663189,0.08366477723061697,2.4224290553071453,0
2023-04-14,1.4984623193740845,4672000,-0.00613491645256159,46.61647831993175,31.829690707154832,-0.07934625752880439,2.4415535977768665,1
2023-04-17,1.5077120065689087,2606500,0.006172785978821205,49.03466965873229,30.34339779707425,-0.12668130958609508,1.2681683382879005,0
2023-04-18,1.5077120065689087,3080900,0.0,49.0346696587323,29.005734178001724,-0.17659241998004602,1.2565046345361526,0
2023-04-19,1.4984623193740845,8649800,-0.00613491645256159,46.437687270604286,26.14691274259302,-0.21863416330487764,1.2566886081091044,0
2023-04-20,1.4892125129699707,5703800,-0.006172865533233707,43.856818280004816,23.573977499906697,-0.25819168451051244,1.2568767435435422,0
2023-04-25,1.4707130193710327,3008400,-0.01242233290267214,39.035756814522166,23.32580593124083,-0.6063846127189944,1.1719462776061196,0
2023-04-26,1.4337137937545776,2743700,-0.025157338739190793,31.37205214739079,24.58152724454875,-0.10665289098625774,1.0483534889277832,1
2023-04-27,1.4522136449813845,1167100,0.012903447889944575,38.12123067309123,25.711676426525877,0.39334023840226007,1.060057019982346,1
2023-04-28,1.4614633321762085,3872900,0.00636937080627864,41.32680563647405,24.912682419770793,0.7069829704506035,1.1107386375319055,1
2023-05-02,1.4984623193740845,4152100,0.025316397875533525,52.30759937070798,22.793846850222913,0.4509416194875815,1.4078781154744726,0
